,步道編號,五月,六月,七月,八月,九月,十月,十一月,十二月
2015年臺中市大坑風景區各登山步道每月遊客數(人次/每月),1號步道,1532,2358,2320,3020,2218,0,0,0
,2號步道,2316,3833,3224,3714,4687,8210,7314,3206
,3號步道,1918,2955,0,3108,4112,4641,4781,2914
,4號步道,0,0,2371,3587,4731,13044,10149,3470
,5號步道,13866,10287,14464,14610,19230,20001,12066,8414
,6號步道,2132,3850,3172,3957,4866,3763,3747,2761
,7號步道,2013,3852,2876,3767,4951,3341,3356,2347
,8號步道,8153,3988,7212,8364,9923,4072,4473,3431
,9號步道,102066,144853,162609,121995,128984,139931,140026,119597
,10號步道,31578,0,0,0,0,0,0,32703
